;Level_1;;;Level_2;;;Level_3;;;Level_4;;;Level_5;;;Level_6;;;Level_7;;;Level_8;;;Level_9;;;Level_10;;;Level_11;;;Level_12;;;Level_13;;;Level_14;;;Level_15;;;Level_16;;;Level_17;;;Level_18;;;Level_19;;;Level_20;;;Level_21;;;Level_22;;;Level_23;;;Level_24;;;Level_25;;;Level_26;;;Level_27;;;Level_28;;;Level_29;;;Level_30;
;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;Score;Combo;Time;
maxi;6770;6;66 == 01:06;8460;8;68 == 01:08;5070;6;66 == 01:06;5140;6;54 == 00:54;24170;10;159 == 02:39;5370;8;83 == 01:23;2250;4;56 == 00:56;11070;6;161 == 02:41;9070;7;50 == 00:50;14750;10;109 == 01:49;19700;16;61 == 01:01;36300;16;113 == 01:53;20950;10;83 == 01:23;48080;17;117 == 01:57;324500;60;88 == 01:28;19060;12;66 == 01:06;11230;10;99 == 01:39;40620;16;94 == 01:34;30580;18;86 == 01:26;169970;28;212 == 03:32;9660;6;98 == 01:38;14140;10;111 == 01:51;46930;18;228 == 03:48;1790;5;43 == 00:43;39790;16;110 == 01:50;2960;5;64 == 01:04;494430;70;211 == 03:31;78870;25;157 == 02:37;16790;10;128 == 02:08;74410;21;175 == 02:55
rigid;9480;8;119 == 01:59;12000;10;62 == 01:02;5560;6;87 == 01:27;5490;5;63 == 01:03;42780;17;109 == 01:49;4070;6;108 == 01:48;1830;3;76 == 01:16;79750;32;77 == 01:17;19820;16;60 == 01:00;20220;12;77 == 01:17;19370;15;62 == 01:02;25740;11;122 == 02:02;28020;16;58 == 00:58;28260;15;123 == 02:03;292740;57;107 == 01:47;6460;5;82 == 01:22;7090;6;121 == 02:01;55910;25;85 == 01:25;28520;19;113 == 01:53;129390;22;270 == 04:30;12690;8;82 == 01:22;8440;6;143 == 02:23;38700;11;186 == 03:06;1180;3;63 == 01:03;25160;12;103 == 01:43;2030;2;67 == 01:07;134620;19;244 == 04:04;42750;12;180 == 03:00;11940;8;182 == 03:02;72710;25;168 == 02:48
Stack;14140;13;76 == 01:16;11540;11;90 == 01:30;6210;5;59 == 00:59;4700;6;88 == 01:28;28080;13;162 == 02:42;5460;8;96 == 01:36;1910;3;96 == 01:36;14130;7;109 == 01:49;10690;11;89 == 01:29;9300;5;118 == 01:58;13770;12;74 == 01:14;37120;17;105 == 01:45;17360;9;82 == 01:22;45290;15;101 == 01:41;235500;46;112 == 01:52;13590;12;72 == 01:12;8360;7;140 == 02:20;79740;32;138 == 02:18;36470;21;80 == 01:20;355680;54;194 == 03:14;14700;10;88 == 01:28;9990;9;171 == 02:51;54400;19;217 == 03:37;1210;3;31 == 00:31;40440;16;99 == 01:39;3780;6;72 == 01:12;385690;58;202 == 03:22;55200;17;160 == 02:40;15470;8;111 == 01:51;53250;15;201 == 03:21
